a,ɒ,,,
á,aː,,,
b,b,,,
c,t͡s,,,
t,t͡s,,sz,TRUE
t,t͡s,,ssz,TRUE
cs,t͡ʃ,,,
t,t͡ʃ,,s,TRUE
d,d,,,
dz,d͡z,,,
dzs,d͡ʒ,,,
e,ɛ,,,
é,eː,,,
f,f,,,
g,ɡ,,,
gy,ɟ,,,
d,ɟ,,j,
h,h,,,
ch,ç,,,
i,i,,,
í,iː,,,
j,j,,,
k,k,,,
l,l,,,
ly,j,,,
m,m,,,
n,n,,,
n,ŋ,,g,
n,ŋ,,k,
ny,ɲ,,,
o,o,,,
ó,oː,,,
ö,ø,,,
ő,øː,,,
p,p,,,
q,k,,,
r,r,,,
s,ʃ,,,
sz,s,,,
t,t,,,
ty,c,,,
u,u,,,
ú,uː,,,
ü,y,,,
ű,yː,,,
v,v,,,
w,v,,,
x,ks,,,
y,j,,,
y,i,,\b,
z,z,,,
zs,ʒ,,,
